房号,楼栋,楼层,房型,户型代码,面积(平方米),朝向,12个月租金,6-11个月租金,2-5个月租金,1个月租金
A808,A,8F,行政单间,S-35-A,51,东,12171,13145,13631,15214
A809,A,8F,行政单间,S-35-A,51,东,12171,13145,13631,15214
A810,A,8F,行政单间,S-37-A,54,东,14213,15350,15918,17766
A811,A,8F,一房豪华式公寓,S-48,70,东 北,18000,19440,20160,22500
A812,A,8F,行政单间,S-37-A,54,北,15034,16237,16838,18793
A813,A,8F,行政单间,S-39-A,57,北,15855,17124,17758,19819
A815,A,8F,豪华行政单间,S-46,67,西 北,18593,20081,20824,23242
A816,A,8F,行政单间,S-35-A,51,西,12171,13145,13631,15214
A817,A,8F,行政单间,S-35-A,51,西,12171,13145,13631,15214
A818,A,8F,行政单间,S-35-A,51,西,12171,13145,13631,15214
A819,A,8F,行政单间,S-35-A,51,西,14000,15120,15680,17500
A820,A,8F,行政单间,S-35-A,51,西,14500,15660,16240,18125
A821,A,8F,行政单间,S-35-A,51,西,12171,13145,13631,15214
A822,A,8F,两房行政公寓,S-74,108,西 南,29818,32204,33396,37273
A823,A,8F,一房豪华式公寓,S-50,73,南,20000,21600,22400,25000
A901,A,9F,行政单间,S-35-A,51,南,12887,13918,14434,16109
A902,A,9F,一房豪华式公寓,S-60-A,51,东 南,22100,23868,24752,27625
A903,A,9F,行政单间,S-35-A,51,东,12221,13199,13687,15276
A905,A,9F,行政单间,S-35-A,51,东,12221,13199,13687,15276
A906,A,9F,行政单间,S-35-A,51,东,12221,13199,13687,15276
A907,A,9F,行政单间,S-35-A,51,东,12221,13199,13687,15276
A908,A,9F,行政单间,S-35-A,51,东,12221,13199,13687,15276
A909,A,9F,行政单间,S-35-A,51,东,12221,13199,13687,15276
A910,A,9F,行政单间,S-37-A,54,东,14263,15404,15974,17828
A911,A,9F,一房豪华式公寓,S-48,70,东 北,18100,19548,20272,22625
A912,A,9F,行政单间,S-37-A,54,北,15084,16291,16894,18855
A913,A,9F,行政单间,S-39-A,57,北,15905,17178,17814,19882
A915,A,9F,豪华行政单间,S-46,67,西 北,18643,20135,20880,23304
A916,A,9F,行政单间,S-35-A,51,西,12221,13199,13687,15276
A917,A,9F,行政单间,S-35-A,51,西,12221,13199,13687,15276
A918,A,9F,行政单间,S-35-A,51,西,12221,13199,13687,15276
A919,A,9F,行政单间,S-35-A,51,西,14020,15142,15702,17525
A920,A,9F,行政单间,S-35-A,51,西,14550,15714,16296,18188
A921,A,9F,行政单间,S-35-A,51,西,12221,13199,13687,15276
A922,A,9F,两房行政公寓,S-74,108,西 南,29868,32258,33452,37335
A923,A,9F,一房豪华式公寓,S-50,73,南,20050,21654,22456,25062
B1001,B,10F,一房豪华式公寓,S-55,80,东 南,21200,22896,23744,26500
B1002,B,10F,一房豪华式公寓,N-59-A,86,东 南,22200,23976,24864,27750
B1003,B,10F,一房豪华式公寓,S-46,67,东,18700,20196,20944,23375
B1005,B,10F,一房豪华式公寓,N-40-A,58,东,16100,17388,18032,20125
B1006,B,10F,一房豪华式公寓,N-40-A,58,东 北,15600,16848,17472,19500
B1007,B,10F,豪华单间,N-31,45,北,12670,13684,14191,15838
B1008,B,10F,行政单间,N-34,50,北,14600,15768,16352,18250
B1009,B,10F,一房豪华式公寓,S-50,73,西 北,20100,21708,22512,25125
B1010,B,10F,一房豪华式公寓,S-46,67,西,17700,19116,19824,22125
B1011,B,10F,一房豪华式公寓,S-46,67,西,17700,19116,19824,22125
B1012,B,10F,一房行政豪华式公寓,S-60-A,88,西 南,22700,24516,25424,28375
B1013,B,10F,行政单间,S-35-A,51,南,14040,15163,15725,17550
B1101,B,11F,一房豪华式公寓,S-55,80,东 南,21300,23004,23856,26625
B1102,B,11F,一房豪华式公寓,N-59-A,86,东 南,22300,24084,24976,27875
B1103,B,11F,一房豪华式公寓,S-46,67,东,18800,20304,21056,23500
B1105,B,11F,一房豪华式公寓,N-40-A,58,东,16150,17442,18088,20188
B1106,B,11F,一房豪华式公寓,N-40-A,58,东 北,15650,16902,17528,19562
B1107,B,11F,豪华单间,N-31,45,北,12720,13738,14247,15900
B1108,B,11F,行政单间,N-34,50,北,14650,15822,16408,18312
B1109,B,11F,一房豪华式公寓,S-50,73,西 北,20150,21762,22568,25188
B1110,B,11F,一房豪华式公寓,S-46,67,西,17800,19224,19936,22250
B1111,B,11F,一房豪华式公寓,S-46,67,西,17800,19224,19936,22250
B1112,B,11F,一房行政豪华式公寓,S-60-A,88,西 南,22800,24624,25536,28500
B1113,B,11F,行政单间,S-35-A,51,南,14060,15185,15747,17575
B1201,B,12F,一房豪华式公寓,S-55,80,东 南,21400,23112,23968,26750
B1202,B,12F,一房豪华式公寓,N-59-A,86,东 南,22400,24192,25088,28000
B1203,B,12F,一房豪华式公寓,S-46,67,东,18900,20412,21168,23625
B1205,B,12F,一房豪华式公寓,N-40-A,58,东,16200,17496,18144,20250
B1206,B,12F,一房豪华式公寓,N-40-A,58,东 北,15700,16956,17584,19625
B1207,B,12F,豪华单间,N-31,45,北,12770,13792,14303,15963
B1208,B,12F,行政单间,N-34,50,北,14700,15876,16464,18375
B1209,B,12F,一房豪华式公寓,S-50,67,西 北,20200,21816,22624,25250
B1210,B,12F,一房豪华式公寓,S-46,67,西,17900,19332,20048,22375
B1211,B,12F,一房豪华式公寓,S-46,67,西,17900,19332,20048,22375
B1212,B,12F,一房行政豪华式公寓,S-60-A,88,西 南,22900,24732,25648,28625
B1213,B,12F,行政单间,S-35-A,51,南,14080,15206,15770,17600
B1501,B,15F,一房豪华式公寓,S-55,80,东 南,21500,23220,24080,26875
B1502,B,15F,一房豪华式公寓,N-59-A,86,东 南,22500,24300,25200,28125
B1503,B,15F,一房豪华式公寓,S-46,67,东,19000,20520,21280,23750
B1505,B,15F,一房豪华式公寓,N-40-A,58,东,16250,17550,18200,20312
B1506,B,15F,一房豪华式公寓,N-40-A,58,东 北,15750,17010,17640,19688
B1507,B,15F,豪华单间,N-31,45,北,12820,13846,14359,16025
B1508,B,15F,行政单间,N-34,50,北,14750,15930,16520,18438
B1509,B,15F,一房豪华式公寓,S-50,73,西 北,20250,21870,22680,25312
B1510,B,15F,一房豪华式公寓,S-46,67,西,18000,19440,20160,22500
B1511,B,15F,一房豪华式公寓,S-46,67,西,18000,19440,20160,22500
B1512,B,15F,一房行政豪华式公寓,S-60-A,88,西 南,23000,24840,25760,28750
B1513,B,15F,行政单间,S-35-A,51,南,14100,15228,15792,17625
B1601,B,16F,一房豪华式公寓,S-55,80,北,21600,23328,24192,27000
B1602,B,16F,一房豪华式公寓,N-59-A,86,东,22600,24408,25312,28250
B1603,B,16F,一房豪华式公寓,S-46,67,东,19100,20628,21392,23875
B1605,B,16F,一房豪华式公寓,N-40-A,58,东,16300,17604,18256,20375
B1606,B,16F,一房豪华式公寓,N-40-A,58,南,15800,17064,17696,19750
B1607,B,16F,豪华单间,N-31,45,南,12870,13900,14415,16088
B1608,B,16F,行政单间,N-34,50,南,14800,15984,16576,18500
B1609,B,16F,一房豪华式公寓,S-50,73,西,20300,21924,22736,25375
B1610,B,16F,一房豪华式公寓,S-46,67,西,18100,19548,20272,22625
B1611,B,16F,一房豪华式公寓,S-46,67,西,18100,19548,20272,22625
B1612,B,16F,一房行政豪华式公寓,S-60-A,88,北,23100,24948,25872,28875
B1613,B,16F,行政单间,S-35-A,51,北,14120,15250,15814,17650
B1701,B,17F,一房豪华式公寓,S-55,80,东 南,21700,23436,24304,27125
B1702,B,17F,一房豪华式公寓,N-59-A,86,东,22700,24516,25424,28375
B1703,B,17F,一房豪华式公寓,S-46,67,东,19200,20736,21504,24000
B1705,B,17F,一房豪华式公寓,N-40-B,61,东,17000,18360,19040,21250
B1706,B,17F,一房豪华式公寓,S-49,77,西,18789,20292,21043,23486
B1707,B,17F,一房行政豪华式公寓,S-46,67,西,18500,19980,20720,23125
B1708,B,17F,一房豪华式公寓,S-46,67,西,18500,19980,20720,23125
B1709,B,17F,一房行政豪华式公寓,S-60-A,88,西 南,22500,24300,25200,28125
B1710,B,17F,行政单间,S-35-A,51,南,13200,14256,14784,16500
B1801,B,18F,一房豪华式公寓,S-55,86,东 南,21800,23544,24416,27250
B1802,B,18F,一房豪华式公寓,N-59-A,67,东,22800,24624,25536,28500
B1803,B,18F,一房豪华式公寓,S-46,67,东,19300,20844,21616,24125
B1805,B,18F,一房豪华式公寓,N-40-B,61,东,17100,18468,19152,21375
B1806,B,18F,一房豪华式公寓,S-49,77,西,18839,20346,21099,23548
B1807,B,18F,一房行政豪华式公寓,S-46,67,西,18550,20034,20776,23188
B1808,B,18F,一房豪华式公寓,S-46,67,西,18550,20034,20776,23188
B1809,B,18F,一房行政豪华式公寓,S-60-A,88,西 南,22600,24408,25312,28250
B1810,B,18F,行政单间,S-35-A,51,南,13250,14310,14840,16562
B1907,B,19F,一房豪华式公寓,S-46,67,西,18600,20088,20832,23250
B1908,B,19F,一房豪华式公寓,S-46,67,西,18600,20088,20832,23250
B1909,B,19F,一房行政豪华式公寓,S-60-A,88,西,22700,24516,25424,28375
B1910,B,19F,三房公寓,S-74,134,南,38000,41040,42560,47500
B208,B,2F,豪华单间,N-29-A,42,北,10000,10800,11200,12500
B209,B,2F,一房豪华式公寓,N-48,70,北,16000,17280,17920,20000
B210,B,2F,一房豪华式公寓,N-66,96,西 北,20000,21600,22400,25000
B211,B,2F,一房豪华式公寓,N-59-A,86,西,21000,22680,23520,26250
B212,B,2F,一房豪华式公寓,N-59-A,86,西,21500,23220,24080,26875
B213,B,2F,豪华单间,N-32,47,西,12800,13824,14336,16000
B215,B,2F,一房豪华式公寓,N-57,83,西,18000,19440,20160,22500
B301,B,3F,一房行政豪华式公寓,S-60-A,88,东,24000,25920,26880,30000
B302,B,3F,豪华单间,N-29-A,42,东,11000,11880,12320,13750
B303,B,3F,一房豪华式公寓,N-59-A,86,东,22000,23760,24640,27500
B305,B,3F,一房豪华式公寓,N-59-A,86,东,21000,22680,23520,26250
B306,B,3F,一房豪华式公寓,S-43,63,东,15000,16200,16800,18750
B307,B,3F,一房豪华式公寓,N-45,66,东 北,15000,16200,16800,18750
B308,B,3F,豪华单间,N-29-A,42,北,10100,10908,11312,12625
B309,B,3F,一房豪华式公寓,N-48,70,北,16500,17820,18480,20625
B310,B,3F,一房豪华式公寓,N-66,96,西 北,20200,21816,22624,25250
B311,B,3F,一房豪华式公寓,N-59-A,86,西,21200,22896,23744,26500
B312,B,3F,一房豪华式公寓,N-59-A,86,西,21700,23436,24304,27125
B313,B,3F,豪华单间,N-32,47,西,13000,14040,14560,16250
B315,B,3F,一房行政豪华式公寓,N-60-A,92,西,19000,20520,21280,23750
B501,B,5F,一房行政豪华式公寓,S-60-A,88,东,24200,26136,27104,30250
B502,B,5F,豪华单间,N-29-A,42,东,11200,12096,12544,14000
B503,B,5F,一房豪华式公寓,N-59-A,86,东,22300,24084,24976,27875
B505,B,5F,一房豪华式公寓,N-59-A,86,东,21300,23004,23856,26625
B506,B,5F,一房豪华式公寓,S-43,63,东,15100,16308,16912,18875
B507,B,5F,一房豪华式公寓,N-45,66,东 北,15100,16308,16912,18875
B508,B,5F,豪华单间,N-29-A,42,北,10200,11016,11424,12750
B509,B,5F,一房豪华式公寓,N-48,70,北,17000,18360,19040,21250
B510,B,5F,一房豪华式公寓,N-66,96,西 北,20400,22032,22848,25500
B511,B,5F,一房豪华式公寓,N-59-A,86,西,21400,23112,23968,26750
B512,B,5F,一房豪华式公寓,N-59-A,86,西,21900,23652,24528,27375
B513,B,5F,豪华单间,N-32,47,西,13200,14256,14784,16500
B515,B,5F,一房行政豪华式公寓,N-60-A,92,西,19300,20844,21616,24125
B601,B,6F,一房行政豪华式公寓,S-60-A,88,东,24500,26460,27440,30625
B602,B,6F,豪华单间,N-29-A,42,东,11500,12420,12880,14375
B603,B,6F,一房豪华式公寓,N-59-A,86,东,22500,24300,25200,28125
B605,B,6F,一房豪华式公寓,N-59-A,86,东,21600,23328,24192,27000
B606,B,6F,一房豪华式公寓,S-43,63,东,15200,16416,17024,19000
B607,B,6F,一房豪华式公寓,N-45,66,东 北,15200,16416,17024,19000
B608,B,6F,豪华单间,N-29-A,42,北,10300,11124,11536,12875
B609,B,6F,豪华单间,N-30-A,44,北,12196,13172,13660,15245
B610,B,6F,一房豪华式公寓,S-50,73,西 北,20600,22248,23072,25750
B611,B,6F,一房豪华式公寓,N-59-A,86,西,21600,23328,24192,27000
B612,B,6F,一房豪华式公寓,N-59-A,86,西,22100,23868,24752,27625
B613,B,6F,豪华单间,N-32,47,西,13400,14472,15008,16750
B615,B,6F,一房行政豪华式公寓,N-60-A,92,西,19600,21168,21952,24500
B703,B,7F,一房豪华式公寓,S-46,67,东,18000,19440,20160,22500
B705,B,7F,一房豪华式公寓,N-44,64,东,15775,17037,17668,19719
B706,B,7F,豪华单间,N-33-A,48,东,13341,14408,14942,16676
B707,B,7F,一房豪华式公寓,S-35-A,51,东,12611,13620,14124,15764
B708,B,7F,豪华单间,N-30-A,44,北,12246,13226,13716,15308
B709,B,7F,豪华单间,N-33-A,48,北,13341,14408,14942,16676
B710,B,7F,一房豪华式公寓,S-50,73,西,17965,19403,20121,22457
B711,B,7F,一房豪华式公寓,N-44,64,西,15775,17037,17668,19719
B712,B,7F,一房豪华式公寓,N-44,64,西,15775,17037,17668,19719
B801,B,8F,一房豪华式公寓,S-55,80,东 南,21000,22680,23520,26250
B802,B,8F,一房豪华式公寓,N-59-A,86,东 南,22000,23760,24640,27500
B803,B,8F,一房豪华式公寓,S-46,67,东,18500,19980,20720,23125
B805,B,8F,一房豪华式公寓,N-40-A,58,东,16000,17280,17920,20000
B806,B,8F,一房豪华式公寓,N-40-A,58,东 北,15500,16740,17360,19375
B807,B,8F,豪华单间,N-31,45,北,12570,13576,14079,15713
B808,B,8F,行政单间,N-34,50,北,14500,15660,16240,18125
B809,B,8F,一房豪华式公寓,S-50,73,西 北,20000,21600,22400,25000
B810,B,8F,一房豪华式公寓,S-46,67,西,17500,18900,19600,21875
B811,B,8F,一房豪华式公寓,S-46,67,西,17500,18900,19600,21875
B812,B,8F,一房行政豪华式公寓,S-60-A,88,西 南,22500,24300,25200,28125
B813,B,8F,行政单间,S-35-A,51,南,14000,15120,15680,17500
B901,B,9F,一房豪华式公寓,S-55,80,东 南,21100,22788,23632,26375
B902,B,9F,一房豪华式公寓,N-59-A,86,东 南,22100,23868,24752,27625
B903,B,9F,一房豪华式公寓,S-46,67,东,18600,20088,20832,23250
B905,B,9F,一房豪华式公寓,N-40-A,58,东,16050,17334,17976,20062
B906,B,9F,一房豪华式公寓,N-40-A,58,东 北,15550,16794,17416,19438
B907,B,9F,豪华单间,N-31,45,北,12620,13630,14135,15775
B908,B,9F,行政单间,N-34,50,北,14550,15714,16296,18188
B909,B,9F,一房豪华式公寓,S-50,73,西 北,20050,21654,22456,25062
B910,B,9F,一房豪华式公寓,S-46,67,西,17600,19008,19712,22000
B911,B,9F,一房豪华式公寓,S-46,67,西,17600,19008,19712,22000
B912,B,9F,一房行政豪华式公寓,S-60-A,88,西 南,22600,24408,25312,28250
B913,B,9F,行政单间,S-35-A,51,南,14020,15142,15702,17525
